idx,model-predict
1,3
2,1
3,4
4,4
5,1
6,2
7,3
8,2
9,2
10,4
11,2
12,4
13,1
14,4
15,2
16,1
17,2
18,3
19,3
20,4
21,4
22,3
23,3
24,1
25,2
26,4
27,2
28,3
29,1
30,2
31,1
32,1
33,3
34,2
35,1
36,3
37,2
38,2
39,3
40,1
41,1
42,1
43,2
44,3
45,2
46,3
47,3
48,1
49,3
50,3
51,3
52,2
53,1
54,2
55,4
56,2
57,3
58,2
59,4
60,2
81,2
82,3
83,1
84,4
85,2
86,1
87,3
88,1
89,2
90,3
91,3
92,1
93,4
94,3
95,4
96,3
97,2
98,2
99,4
100,3
101,2
102,2
103,4
104,3
105,2
106,3
107,2
108,4
109,3
110,2
111,2
112,2
113,1
114,3
115,2
116,1
117,2
118,3
119,4
120,3
121,2
122,4
123,1
124,2
125,1
126,2
127,1
128,3
129,4
130,3
131,3
132,3
133,3
134,3
135,1
136,3
137,1
138,4
139,1
140,4
