Rank,Model,Baseline Accuracy,Best Threshold,Coverage,Accuracy,Improvment,Use case
1,Claude Haiku 4.5,42.50%,83.2,19.20%,56.50%,14.00%,موارد حیاتی با reliability بالا
2,Grok 4 Fast,53.30%,90,55.00%,63.60%,10.30%,سیستم hybrid متعادل
3,Llama 4 Maverick,40.00%,88,27.50%,48.50%,8.50%,موارد حیاتی با reliability بالا
4,Qwen3 80,45.00%,94.7,29.20%,51.40%,6.40%,موارد حیاتی با reliability بالا
5,DeepSeek V32 Exp,43.30%,86.8,35.80%,48.80%,5.50%,موارد حیاتی با reliability بالا
6,DeepSeek R1T2 Chimera,53.30%,86,56.70%,58.80%,5.50%,سیستم hybrid متعادل
7,Gemini 2.5 Flash,53.30%,88.4,68.30%,56.10%,2.80%,سیستم hybrid متعادل
8,GPT o3s 120,35.00%,80,95.80%,36.50%,1.50%,QA عمومی با coverage بالا
9,Gemini 2.5 Flash Lite,45.00%,18.8,98.30%,45.80%,0.80%,QA عمومی با coverage بالا
10,GPT-4.1 Mini,36.70%,88.8,89.20%,37.40%,0.70%,QA عمومی با coverage بالا
11,GPT o3s 20,30.80%,86,92.50%,31.50%,0.70%,QA عمومی با coverage بالا
12,Llama 4 Scout,45.80%,87.2,41.70%,46.00%,0.20%,سیستم hybrid متعادل
13,GPT-4o Mini,39.20%,80,100.00%,39.20%,0.00%,QA عمومی با coverage بالا
14,Qwen3 235,46.70%,80,100.00%,46.70%,0.00%,QA عمومی با coverage بالا
