"Model,Run,Mean_len_correct,Mean_len_incorrect"
"Claude Haiku 4.5,run1,51.35,55.26"
"Claude Haiku 4.5,run2,54.98,56.39"
"Claude Haiku 4.5,run3,54.35,56.07"
"Claude Haiku 4.5,run4,55.61,55.54"
"Claude Haiku 4.5,run5,59.22,59.61"
"DeepSeek R1T2 Chimera,run1,41.84,38.68"
"DeepSeek R1T2 Chimera,run2,37.17,33.57"
"DeepSeek R1T2 Chimera,run3,32.05,29.52"
"DeepSeek R1T2 Chimera,run4,30,28.18"
"DeepSeek R1T2 Chimera,run5,31.67,26.73"
"DeepSeek V32 Exp,run1,37.81,38.34"
"DeepSeek V32 Exp,run2,39.46,39.84"
"DeepSeek V32 Exp,run3,42.04,43"
"DeepSeek V32 Exp,run4,43.63,45.01"
"DeepSeek V32 Exp,run5,46.62,46.19"
"Gemini 2.5 Flash,run1,39.42,41.43"
"Gemini 2.5 Flash,run2,42.84,45.64"
"Gemini 2.5 Flash,run3,47.69,49.34"
"Gemini 2.5 Flash,run4,48.55,59.18"
"Gemini 2.5 Flash,run5,54.7,61.07"
"Gemini 2.5 Flash Lite,run1,44.54,42.12"
"Gemini 2.5 Flash Lite,run2,45.85,44.91"
"Gemini 2.5 Flash Lite,run3,45.41,50.17"
"Gemini 2.5 Flash Lite,run4,47.78,51.89"
"Gemini 2.5 Flash Lite,run5,51.24,48.97"
"GPT 4.1 Mini,run1,29.91,31.41"
"GPT 4.1 Mini,run2,31.64,34"
"GPT 4.1 Mini,run3,33.09,36.05"
"GPT 4.1 Mini,run4,35.91,37.95"
"GPT 4.1 Mini,run5,34.45,40.91"
"GPT 4o Mini,run1,29.36,28.73"
"GPT 4o Mini,run2,34.45,32.41"
"GPT 4o Mini,run3,35.3,32.33"
"GPT 4o Mini,run4,36.28,35.03"
"GPT 4o Mini,run5,40.17,36.51"
"GPT OSS 20,run1,19.41,22.12"
"GPT OSS 20,run2,16.78,22.35"
"GPT OSS 20,run3,18.7,23.14"
"GPT OSS 20,run4,19.86,24.87"
"GPT OSS 20,run5,20.89,25.25"
"GPT OSS 120,run1,33.64,32.4"
"GPT OSS 120,run2,30.05,31.64"
"GPT OSS 120,run3,28.83,32.28"
"GPT OSS 120,run4,27.79,29.64"
"GPT OSS 120,run5,24.21,29.33"
"Grok 4 Fast,run1,51.44,57.59"
"Grok 4 Fast,run2,53.27,58.14"
"Grok 4 Fast,run3,55.38,58.25"
"Grok 4 Fast,run4,57.27,60.82"
"Grok 4 Fast,run5,58.77,59.82"
"Llama 4 Maverick,run1,40.69,38.4"
"Llama 4 Maverick,run2,44.62,44.93"
"Llama 4 Maverick,run3,42.81,42.86"
"Llama 4 Maverick,run4,45.54,46.71"
"Llama 4 Maverick,run5,48.1,44.36"
"Llama 4 Scout,run1,39.4,45.26"
"Llama 4 Scout,run2,40.73,46.85"
"Llama 4 Scout,run3,37.15,47.02"
"Llama 4 Scout,run4,43.25,56.97"
"Llama 4 Scout,run5,56.8,69.52"
"Qwen3 80B,run1,34.76,37.29"
"Qwen3 80B,run2,36.81,38.79"
"Qwen3 80B,run3,36.17,39.41"
"Qwen3 80B,run4,39.65,39.47"
"Qwen3 80B,run5,40.57,39.59"
"Qwen3 235B,run1,54.05,56.52"
"Qwen3 235B,run2,55,58.77"
"Qwen3 235B,run3,57.7,60.38"
"Qwen3 235B,run4,57.09,63.72"
"Qwen3 235B,run5,57.89,60.45"
