Models,1/5,2/5,3/5,4/5,5/5
Claude Haiku 4.5,–,50,20,43.4783,52.3077
DeepSeek R1T2 Chimera,35.7143,44.4444,36.1111,73.3333,72.7273
DeepSeek V32 Exp,–,0,22.2222,33.3333,50
Gemini 2.5 Flash,–,–,44,48,58.5714
Gemini 2.5 Flash Lite,75,28.5714,36.3636,37.037,63.8889
GPT-4.1 Mini,–,–,19.2308,24,47.8261
GPT-4o Mini,0,0,28.5714,34.375,50
GPT-OSS 20,42.8571,34.7826,21.6216,22.2222,35.7143
GPT-OSS 120,28.5714,44.4444,28.5714,37.5,45.4545
Grok 4 Fast,–,100,46.6667,48.7179,58.3333
Llama 4 Maverick,–,25,32.3529,31.0345,51.9231
Llama 4 Scout,–,50,31.5789,48,54.717
Qwen3-80,–,0,39.2857,70,40.8451
Qwen3-235,–,0,32.1429,36,57.5758
